FID	IID	SOL	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	Group
M041	NA25000	0	0.0781184	0.00825742	0.00887199	-0.0148851	-0.0174213	-0.000409205	0.00875823	-0.00377714	0.0370856	0.0130981	2
NA20502	NA20502	0	-0.0196508	-0.0296065	-0.0310556	-0.00478829	0.00750299	0.0103255	-0.0100448	0.00487425	0.00828583	0.00311962	3
NA20504	NA20504	0	-0.0145748	-0.0201918	0.00221972	0.00266613	-0.00272601	-0.0404218	-0.00288322	-0.0150612	0.00147211	0.00511233	3
NA20505	NA20505	0	-0.0205452	-0.0139639	-0.0205741	-0.0246279	0.0042244	0.0310734	-0.00510392	0.00372398	-0.00467852	0.0139811	3
NA20506	NA20506	0	-0.0110941	-0.0179715	-0.0243966	-0.0116464	0.0149472	-0.000121779	-0.0202244	0.0082493	-0.00238949	-0.00094108	3
NA20508	NA20508	0	-0.0173198	-0.0172196	0.00979622	-0.00248485	-0.00140192	0.00759334	0.0162304	0.00234431	-0.00295608	-0.00764737	3
NA20509	NA20509	0	-0.0158111	-0.0328014	0.0301087	-0.011125	-0.0106497	-0.0383457	-0.0173561	0.00630435	0.0311605	0.0262461	3
NA20510	NA20510	0	-0.0213162	-0.0290731	-0.00916758	0.00171228	0.0159559	-0.00504394	0.00619204	-0.00184019	0.0261458	-0.00478427	3
NA20512	NA20512	0	-0.0153526	-0.0220672	0.0173247	-0.00351137	0.0288971	0.0110955	-0.0250897	-0.00276157	-0.00938757	-0.00173434	3
NA20515	NA20515	0	-0.011935	-0.0214051	-0.0165858	0.000743101	-0.0222216	-0.00358364	0.00185292	0.00187175	0.00558411	0.00505577	3
NA20516	NA20516	0	-0.00933525	-0.0165389	0.023393	0.0111526	-0.0191927	0.0110586	-0.00276116	0.0203146	0.00701281	-0.0247588	3
NA20517	NA20517	0	-0.0255944	-0.00793124	0.0173629	0.0218705	-0.0200326	-0.00816673	0.00993269	-0.0319683	-0.00676233	-0.00799421	3
NA20518	NA20518	0	-0.0139158	-0.020247	-0.0136686	-0.00942327	0.00148815	-0.00199786	-0.00271518	0.0388828	0.0248873	-0.00533311	3
NA20519	NA20519	0	-0.0173043	-0.0258211	0.0254428	-0.0098971	-0.00173225	0.00973052	0.00241522	0.0105326	-0.0163504	0.0141081	3
NA20520	NA20520	0	-0.0219794	-0.0259653	0.0176272	0.0138019	0.0109573	0.00106764	0.00720026	-0.0297184	-0.010223	0.00240343	3
NA20521	NA20521	0	-0.0194373	-0.0220818	0.00327071	0.0140277	-0.00600873	-0.00773616	-0.0171823	-0.0299658	-0.00483507	-0.00178892	3
NA20522	NA20522	0	-0.0179823	-0.00969274	0.00117384	0.0193371	-0.016232	0.00983372	0.00132399	-0.0250877	0.0157442	0.0266563	3
NA20524	NA20524	0	-0.0160244	-0.0158734	-0.0106959	-0.0038659	0.00753102	0.0123173	-0.00200459	-0.0192163	-0.0113339	0.00896339	3
NA20525	NA20525	0	-0.017391	-0.0219114	0.00461954	0.0100479	-0.00105715	0.00194974	-0.0260108	0.0199874	-0.0188623	0.0287873	3
NA20527	NA20527	0	-0.0176476	-0.011212	0.0164172	0.0290351	-0.00615166	0.01295	0.0102885	0.00303926	0.00647886	0.00822422	3
NA20528	NA20528	0	-0.0196466	-0.0126098	0.0139609	-0.0250502	0.00142182	-0.0142474	-0.0184759	0.0044746	0.00321562	0.0133093	3
NA20529	NA20529	0	-0.0190712	-0.0153252	-0.00665125	0.0118785	0.00768374	0.00708584	0.0189435	-0.0134602	-0.0012382	-0.0125966	3
NA20530	NA20530	0	-0.0149034	-0.0276228	0.00175833	0.0112936	-0.00512932	-0.0178469	-0.0208378	0.010817	0.00943925	-0.00192577	3
NA20531	NA20531	0	-0.0166546	-0.0322272	-0.00898707	-0.0177295	-0.0087177	-0.0175782	-0.0224725	-0.0205951	-0.0145288	-0.0141759	3
NA20534	NA20534	0	-0.0165586	-0.0339023	-0.0214431	0.00112523	0.0119223	0.00840417	9.34E-05	0.0105018	-0.00698572	0.0102531	3
